,level_0,index,FeatureName,title,Sentence,CS_SS,p/n,Ref
290,95,175,compression,panasonic lumix dmc-lx5 ,"not so good for human figure, despite its shortcomings, notably its weak jpeg processing, the panasonic lumix dmc-lx5 delivers an excellent all-around shooting experience--fastest in its class, full featured, and capable of shooting some very nice photos.",SS,P,
291,96,177,compression,panasonic lumix gx7 ,"there has been much said about the gx7.i'll just add a few toughs that have not been shared (as far as i can tell) by other reviews.this purely from a consumer perspective, without going in detail on regards to iso pixel peeping etc.first... the lvf or evf, however you want to call it, compared to the gx1.it's smaller, wide screen, and has a tunnel effect when looking trough it.if you shoot 4:3, which is actually the sensor size, you will end up with black bars on the sides, which is actually distracting and takes away form the experience.the gx1 lvf seems better to me in every way, and i can't tell the difference in regards to extra resolution on the gx7 lvf vs the gx1.there are some limitations in regards to the e-shutter, min shutter speed is 1 second, you can't use it for panorama, and some light sources, will cause banding on the final picture, so it must be disabled.i have not detected any impact in picture quality.writing speed to sd has been greatly improved as compared to gx1, i've been shooting raw and large jpge low compression, and it's blazing fast recording pictures.",SS,P,
292,97,179,compression,pentax k-5,"if you're a working photographer (or just someone shooting for fun) then you know that time is valuable ... and if you can get away with jpegs rather than needing to tweak raw files and then convert those raw files to jpeg that's a huge advantage.bottom line, the k-5 iis is an amazing camera that is worth more than the selling price and is much better than the specs suggest at first glance.highly recommended.",SS,P,
293,98,180,compression,pentax mx-1,"i'll touch on each.pros:------ in good light, or in poorer light where you can place it on a stable base and adjust shutter speeds, or aperture, the mx-1 gives images in jpeg which are much closer to the aps-c sensor in my dslr than i expected.",SS,P,
294,99,181,compression,pentax mx-1,"the q menu layout has a good deal more customization available... more color profiles, assignable green button, option to save last jpeg as raw, quick zoom in playback, focus peaking and other features that are just flat-out mia on the mx-1.",SS,P,
295,100,182,compression,ricoh gr ,the best way to understand bw (te) is to think of a black and white photo that has a slight tint covering the entire image.the ricoh gr can output in raw as well as jpeg files.,SS,P,
296,101,185,compression,samsung tl350 ,"while they each had their advantages, the tl350 had the best bang for the buck.let's look at the specs that matter for video on all these cameras - they all have manual control over exposure, shutter speed, aperture, white balance, and iso, so i'm skipping that:canon s95- 1/1.7"" ccd- 28-105mm- f/2.0-f/4.9- mpeg-4/h.264 .mov- stereo linear pcm audio- 1280x720 @ 24fpspanasonic lx5- 1/1.63 ccd- 24-90mm- f/2.0-f/3.3- avchd lite/mjpeg- dolby audio- 1280x720 @ 30fpscasio fh100- 1/2.3 cmos- 24-240mm- f/3.2-f/5.7- avi/mjpeg- ima-adpcm stereo audio- 1280x720 @ 30fpssamsung tl350- 1/2.4 cmos- 24-120mm- f/2.4-f/5.8- mpeg-4/h.264- aac, wav stereo audio- 1920x1080 & 1280x720 @ 30fpshere's why the samsung tl350 is the best:(1) price.",SS,P,
297,102,191,compression,sony a65 ,"a large 19x13 printout of a standard test image from dp reviews studio scene shows the a65 very, very close in resolving fine detail to the nikon d3x (the previous resolution king in 35mm photography prior to the nikon d800 and able to resolve detail comparable to 35mm kodachrome 64).low light problems?although the recent digital photography review (the closest thing to a definitive reference source on digital cameras on the web) slammed the alpha 77 (same sensor and basic image engine as the a65) for its high noise particularly in raw, and its somewhat `mushy' jpeg rendering, while i generally agree, some clarifications are called for.",SS,N,
298,103,192,compression,sony a65 ,the olympus omd 5 has fantastic high iso performance for a micro 4/3 sensor (better than either the nikon 3200 or the sony a65 frankly) and also offers better jpeg definition than either sony or nikon (to the point where raw post processing typically yields little).,SS,P,
299,104,193,compression,sony a65 ,the sample photos look very good.the pellicle (transparent) mirror in the a65 uses the same technology as on sony's high-end semi-professional a77 model.another edge nikon has over the sony was that several reviewers felt that the jpeg algorithm was slightly better in the nikon at higher isos and recommended shooting the sony raw at over 400 to get the best image quality.,SS,P,
300,105,194,compression,sony a7,"yes the lens is f3.5 but so are the lenses for the other cameras.this is a problem because the a7's jpeg engine is really smudging the picture details at 1600, 3200 and higher.under natural daylight, it will use iso 100 mostly but even on cloudy days it won't opt to use slightly higher isos whereas the other cameras will detect that there is less natural light and go up to iso 400.the resulting photos under natural daylight are also not as bright and punchy like the d600 - which shares a similar 24mp full frame sensor.",SS,N,
301,106,195,compression,sony a7,"i can't say that about the e-m5, which i didn't dare push past 3200 lest i get harsh chroma noise that that no amount of post-processing could redeem.before receiving the a7 i also read complaints about the jpeg engine.",SS,N,
302,107,197,compression,sony a7,"for comparison purposes, i&#8217;ll just focus on the d600 and keep in mind this isn&#8217;t a comprehensive list, just things that make the biggest difference to me (and maybe you).advantages the d600 over the a7:- much faster focusing, especially in low light- better flash metering- better out of camera jpegs (this is subjective, i&#8217;m simply stating i like the colors and rendering for my tastes)- better low light performanceadvantages of the a7 over the d600&#8221;- much smaller and lighter- evf (i do prefer a high quality evf over ovf, again personal bias)- amazing video- slightly sharper imagesin the end i sold the d600 and kept the a7.",SS,P,
303,108,203,compression,sony alpha a6000,apple has not released the software to read a6000 raw images so i only use the fine compression jpeg.,SS,P,
304,109,209,compression,sony cybershot dscp73,"it's almost 2013 and mysony cybershot dscp73 4.1mp digital camera with 3x optical zoomis still a great digital camera that takes good quality digital photos (jpegs) and movies (mpegs) and is fully functional after about 8 years of steady use.even at 4.1 mega pixels, the quality is much better than a ""laptop or phone camera"".",SS,P,
305,110,210,compression,sony cyber-shot dsc-w560 ,"the sony dsc-w560 cyber-shot camera will grab images with ease.point & shoot .... move on with your life, .... & import the files with a click.hi-def 1920x1080 jpeg files are full of details.the package has sony's pmb software, .... that works ok too.4x optical zoom is far out.purchased camera at best buy for a few bucks more than amazon.",SS,P,
306,111,217,compression,sony dsc-w370,"if you're in love with the idea of a reasonably priced camera with a 7x optical zoom in a compact body, the w370 is worth checking out, but it's not without sacrifice.key specs sony cyber-shot dsc-w370dimensions (whd) 3.9x2.2x1 inchesweight (with battery and media) 6.3 ouncesmegapixels, image sensor size, type 14 megapixels, 1/2.3-inch ccdlcd size, resolution/viewfinder 3-inch lcd, 230k dots/nonelens (zoom, aperture, focal length) 7x, f3.6-5.6, 34-238mm (35mm equivalent)file format (still/video) jpeg/mpeg-4 (.mp4)highest resolution size (still/video) 4,320x3,240 pixels/1,280x720 at 29.97fps (progressive)image stabilization type optical and digitalbattery type, cipa rated life lithium ion rechargeable, 230 shotsbattery charged in camera no, external charger suppliedstorage media memory stick pro duo, sd, sdhcbundled software picture motion browser 5.0 (windows), pmb portable 1.1 (windows, mac)the camera is available in silver--actually more of gun-metal gray; red; and green versions, all have chrome trim on the top and right side, and the w370's body is compact enough to squeeze in most pants pockets or handbags.",SS,P,
307,112,219,compression,sony nex-5n,"the nex-5n to me is the camera that gives you the best of everything, it did in fact produce better ooc jpeg images than the 550d in some low light settings.",SS,P,
308,113,241,compression,canon sx40 hs,")(4) the sx40, like the sx20, does not record photographs in raw format - only jpeg.",SS,P,
309,114,251,compression,panasonic lumix dmc-fz100,"!panasonic lumix dmc-fz100 14.1 mp digital camera with 24x optical image stabilized zoom and 3.0-inch lcd (black)here are the specs:key specs panasonic lumix dmc-fz100dimensions (whd) 4.9 x 3.2 x 3.7 inchesweight (with battery and media) 1.2 poundsmegapixels, image sensor size, type 15 megapixels, 1/2.3-inch mos (14 megapixels effective)lcd size, resolution/viewfinder 3-inch lcd, 460k dots/electroniclens (zoom, aperture, focal length) 24x, f3.3-5.7, 25-600mm (35mm equivalent)file format (still/video) jpeg, raw (.rw2)/avchd (.mts)highest resolution size (still/video) 4,320x3,240 pixels/ 1,920x1,080 at 30fps (interlaced; 19mbps), 1,280x720 at 30fps (progressive; 17mbps)image stabilization type optical and digitalbattery type, cipa rated life li-ion rechargeable, 410 shotsbattery charged in camera no; external charger suppliedstorage media sd/sdhc/sdxcbundled software photofunstudio 5.2 hd edition (windows), silkypix developer studio 3.1 se (windows, mac)read more: (...)",SS,P,
310,115,0,compression,canon eos 40d ,fun fact i have never once in my life shot a raw file (ok once i shot raw plus jpeg but i never once touched the raw files) maybe its because i shot film for years and do everything in the camera.,SS,P,
311,116,1,compression,canon eos 40d ,raw files are bo better then jpegs as long as you know how to adjust your camera everything you can do with raw you can do in camera.,SS,P,
312,117,2,compression,canon eos 5d ,"the jpeg output is very amazing, sharp and vivid.",SS,P,
313,118,3,compression,canon eos 5d ,"for a $3500 camera, it produces mushy jpegs, even at base iso.",SS,N,
314,119,4,compression,canon eos 5d ,this camera will make a smeary mess of your jpeg images if you leave them on.,SS,N,
315,120,5,compression,canon eos 5d ,(sidebar: i don't bother with jpeg's anymore.,SS,N,
316,121,6,compression,canon eos 5d ,"using raw has let me resolve many color balance problems (mixed light sources) and has allowed me to bring back detail in shadows and highlights that would have been lost in jpegs.the self-cleaning sensor has yet to miss a spec of dust, which is saying a lot, since i'm continually having to clean the sensor on my 5dii and my 20d's (yes, i still use them from time to time.",SS,N,
317,122,7,compression,canon eos 5d ,this camera produces great jpegs.,SS,P,
318,123,8,compression,canon eos 5d ,jpegs are great so anyone can use it out of the box.,SS,P,
319,124,9,compression,canon eos 5d ,"the jpeg output is very amazing, sharp and vivid.",SS,P,
320,125,10,compression,canon eos 5d ,it really is impressive.the jpeg's that this camera produces are beautiful if you don't shoot raw.,SS,P,
321,126,11,compression,canon eos 5d ,i have no problem with amazing detail and clarity with the jpeg's with them turned off.the build of the camera is really good.,SS,P,
322,127,12,compression,canon eos 5d ,the jpeg engine in this camera is staggeringly good and a solid 2 stops better at controlling noise at high iso than the 5dii.,SS,P,
323,128,13,compression,canon eos 5d ,"taking this sports events at malaysia, (with 200l ii 2.8 lens, using 60mb/s cf card, jpeg large fine)this 5dm3 keeps 6fps as promised bursting continously for 20 seconds.",SS,P,
324,129,14,compression,canon eos 5d ,the 5d iii uses a very advanced codec that compresses the files so they take up almost nearly no space on your flash drives.,SS,P,
325,130,15,compression,canon eos 5d ,i'll have to wait until my friend receives his to find out.jpeg:easy winner.,SS,P,
326,131,16,compression,canon eos 5d ,"out of the camera, the canon jpegs are phenomenal.",SS,P,
327,132,17,compression,canon eos 5d ,canon should adopt uncompressed hdmi out also.price:easy winner.,SS,P,
328,133,18,compression,canon eos 5d ,"though there may be some advantages to shooting raw, my preference is jpeg for simple photo sharing and editing, and jpeg photos work great.love the sound of the shutter, and love the fact that you can easily switch it to silent mode shooting.",SS,P,
329,134,19,compression,canon eos 5d ,"it is just too easy to shoot raw, load it into adobe lightroom, zip through doing crop and adjustments, and then export to whatever sized jpegs i need.",SS,P,
330,135,20,compression,canon eos 60d ,"a 16gb card with raw + jpeg holds about 400 photos- screen resolution is phenomenal- wireless flash control is amazing, lots of new creative possibilities- video quality, while not important to me, is very impressive...but must be done in manual mode, autofocus is worthless- overall...i'm going to keep the 60d and probably put my 40d on ebay eventually...the ""upgrade"" is generally worthwhile...but it's a mixed bag.",SS,P,
331,136,21,compression,canon eos 60d ,jpegs are pretty nice too.,SS,P,
332,137,22,compression,canon eos 60d ,"raw and jpeg modes are great - just a caution, raw eats memory by default, so try to get large sd cards8.",SS,P,
333,138,23,compression,canon eos 60d ,"it is capable of producing astounding images (with the right user), it is reliable, and efficient (concerning power consumption, controls, and photo compression).",SS,P,
334,139,24,compression,canon eos 6d,"the wifi feature is great and very handy for instantly sharing pictures, the camera is super fast in down converting the original raw files to small jpegs to be sent to phone.. great camera .. great features.. and great size!",SS,P,
335,140,25,compression,canon eos 6d,i experimented with a few jpegs and they looked great as well.,SS,P,
336,141,26,compression,canon eos 6d,the result is a very well exposed jpeg image.,SS,P,
337,142,27,compression,canon eos 6d,a workaround i end up doing is shooting my usual raw images and then switch to handheld night scene to get a nice jpeg.,SS,P,
338,143,28,compression,canon eos 6d,"they look somewhat soft, but the jpegs would be fine for web pages that do not require a lot of detail.",SS,P,
339,144,29,compression,canon eos 6d,"the sd card is a class 10 and seems to do well for raw, jpeg or video.",SS,P,
340,145,30,compression,canon eos 70d ,"but don't expect the stills-centric interface to feel quite as natural as that of a purpose-built video camera.the 70d's feature set borrows a few things from the 5d iii: 1080p/30, 720p/60, 480p/30, time code support, and a choice of ipb and all-i compression.",SS,P,
341,146,31,compression,canon eos 70d ,"missing are the 5d iii's headphone jack, uncompressed hdmi video, live audio gain control, and both av and tv modes (m is still available).",SS,P,
342,147,32,compression,canon eos 70d ,a 32gb sd card is good for about 45 minutes with all-i compression and two hours with ipb.,SS,P,
343,148,33,compression,canon eos 70d ,anyone shooting in jpeg will be fine.,SS,P,
344,149,34,compression,canon eos 70d ,"three continuous shots are taken at different exposures then in-camera processed into one jpeg image, with a wide tonal range, that minimizes blocked-up shadows and improves highlights.",SS,P,
345,150,35,compression,canon eos 70d ,"shots can be taken in raw and/or jpeg, saved to the memory card for post processing in your favorite software.",SS,P,
346,151,36,compression,canon eos 70d ,i will try and upload some of the tests (where the photographic panorama serves as both background and light-source) if i can figure out how to do so on the amazon site.edit - 11/9/2013: a note to anyone who intends to shoot green screen (for color keyed composites) or do precise color grading in post production: the video output from the 70d is not ycbcr 4:2:2 compression.,SS,P,
347,152,37,compression,canon eos 70d ,"i sold my canon 5dmark ii to get this camera, i also have a t3i.i love the speed of this camera shooting jpeg with a fast sd card , that's right you should  have a fast card (80 mb's will do) for this camera especially shooing raw (lab tests later) video tracking was decent with my 28-105mm canon lens.",SS,P,
348,153,38,compression,canon eos 7d ,"(i don't want to have too many images on one card in case card ever had a failure) shooting in raw and jpeg, and save raw images as 'hi res"" jpegs to print.",SS,N,
349,154,39,compression,canon eos 7d ,"in jpeg format, the noise isn't that noticeable.",SS,N,
350,155,40,compression,canon eos 7d ,shooting in jpeg with nr off i believe you can shoot at 8fps until the memory card is full.things that are good:-iso performance.,SS,P,
351,156,41,compression,canon eos 7d ,"some people have indicated they were not happy with the sharpness - i adjusted the sharpness setting up a bit (if you want jpeg) in the standard mode, and it seemed to make a difference.",SS,P,
352,157,42,compression,canon eos m ,"i have yet to really test this.the ability to create raw files from a tiny little portable camera is nice, but i do have to say that the jpeg files that come out of the eos-m are amazing.",SS,P,
353,158,43,compression,canon eos m ,the out of camera jpeg results were very good to great.,SS,P,
354,159,44,compression,canon eos m ,"i haven't even done a raw conversion yet, and the jpegs look great straight ooc.",SS,P,
355,160,45,compression,canon eos m ,"the jpeg processing is solid, the raw photos surpass my k-x easily, and every f-stop seems to be extremely sharp (i.e.",SS,P,
356,161,46,compression,canon eos m ,"the colors, and sharpness of the jpeg's are very pleasing and impressive.",SS,P,
357,162,47,compression,canon eos rebel sl1 ,jpeg often lacks the flexibility for significant changes in post.,SS,P,
358,163,48,compression,canon eos rebel sl1 ,low light performance astonishing; even iso 6400 in near-darkness very usable with little noise (i shot entirely in jpeg).,SS,P,
359,164,49,compression,canon eos rebel sl1 ,"once i got a decent (fingers crossed) unit, i took raw and jpeg fine pictures and compared it with my nikon d600, and for what i do, there is no obvious difference in the units.",SS,P,
360,165,50,compression,canon eos rebel sl1 ,"18 mega pixels provides an awesome image, you can shoot in both jpeg and raw.",SS,P,
361,166,51,compression,canon eos rebel t1i ,the 'extra quality' you can usually get out of raw files compared to shooting in jpeg is relatively limited on the 500d.,SS,N,
362,167,52,compression,canon eos rebel t1i ,files in ps are large when you are using either raw or fine jpeg -- 5184x3254 at 240 dpi is large file.,SS,P,
363,168,53,compression,canon eos rebel t1i ,it is doing a pretty good job at 'optimizing' the jpeg output when converting the raw data.,SS,P,
364,169,54,compression,canon eos rebel t1i ,"it's therefore recommendable, especially in bright and contrasty conditions, to always shoot jpeg + raw.",SS,P,
365,170,55,compression,canon eos rebel t2i ,"jpeg + raw definitely slows it down but unless you are going to be shooting a lot of sports, this won't be a problem.",SS,N,
366,171,56,compression,canon eos rebel t2i ,"if you are and can keep it in jpeg, you will be fine.quality of the pictures is fantastic.",SS,P,
367,172,57,compression,canon eos rebel t3 ,"the issue is that the tripod has a pin which pops up and is supposed to go into a hole in the camera, but this canon camera doesn't have a pinhole so you have to tighten the screw tight so that the pin is actually depressed enough and the camera is compressing the rubber pad around it.",SS,N,
368,173,58,compression,canon eos rebel t3 ,the camera seems to do an ok job shooting continuous in jpeg mode but if you are needing something that can shoot raw in continuous this camera has some limitations.,SS,N,
369,174,59,compression,canon eos rebel t3 ,"the sd card is a 16 gb sdhc class 10, which is a very nice card, plenty of space when shooting just in jpeg 12 mp, it gives you well over 2000 pictures to take.",SS,P,
370,175,60,compression,canon eos rebel t3 ,i assume if you care about rapid raw format shooting this is not for you but as someone who tends to shoot jpeg mainly i have this camera to be a perfect fit.,SS,P,
371,176,61,compression,canon eos rebel t3 ,"i'm set on complete manual with this camera and shoot raw, so i really don't bother with jpeg or auto features.",SS,N,
372,177,62,compression,canon eos rebel t3 ,"if you want excellent pictures shoot a large, fine jpeg or raw or combine the two.",SS,P,
373,178,63,compression,canon eos rebel t3i ,"the t3i, however, adds frequent and unpredictable delays when ""busy"" flashes in the viewfinder and the red light is on -- even in continuous mode.i used the same exact settings on both cameras (large jpeg, p-mode, quick af).",SS,N,
374,179,64,compression,canon eos rebel t3i ,"i spent hours and hours, days upon days, weeks upon weeks trying to get good jpegs and videos from my t3i to no avail.",SS,P,
375,180,65,compression,canon eos rebel t3i ,"18-135 is a great walkaround lens so you don't have to carry any awkward camera bag with you.also, something that might be helpful: the large jpeg is 10.9-11.0 mb.",SS,P,
376,181,66,compression,canon eos rebel t3i ,the average user will be satisfied with the 18megapixel image compressed as a 5mb jpeg file.,SS,P,
377,182,67,compression,canon eos rebel t3i ,"additionally, the abilty to shoot raw + jpeg was nice as i rarely need the raw photos but if something looks extra &#34;special&#34; then i can edit it without having to go back and re-shoot it.",SS,P,
378,183,68,compression,canon eos rebel t4i ,"noise and dynamic range are the same in raw, though noise in jpeg is a tick cleaner with the t4i and t5i.",SS,P,
379,184,69,compression,canon eos rebel t4i ,"post-production creates the bulk of the appeal of many photographs (e.g., instagram) and jpeg often lacks the requisite flexibility.",SS,P,
380,185,70,compression,canon eos rebel t5 ,"canon does a decent job balancing out noise, noise reduction, and detail retention in the jpegs as you go up the iso scale.",SS,N,
381,186,71,compression,canon g12 10 ,"the camera can shoot raw and, my favorite, raw + jpeg.",SS,P,
382,187,72,compression,canon g12 10 ,i shoot raw but the out-of-the-box jpeg quality is also very good.,SS,P,
383,188,73,compression,canon powershot a1200,"if you want to do further manipulation of still images in a software program, results are always better if you can begin with an uncompressed image.having said that, i find the quality of the jpeg images are excellent.everything else about this camera exceeded my expectations for versatility and control.",SS,P,
384,189,74,compression,canon powershot a2500 ,how hard would it be to have a setting to compress jpegs down to a point-and-shoot users' size on the sd card?,SS,N,
385,190,75,compression,canon powershot a495,"video does produce a reasonable quality product, but the compression algo.",SS,P,
386,191,76,compression,canon powershot elph 300 ,i am so sad that despite consistent complaints that canon has not rectified the compression issue.,SS,N,
387,192,77,compression,canon powershot elph 300 ,"though, i'm used to shooting in raw (which this camera doesn't have), it's jpeg output is great.",SS,P,
388,193,78,compression,canon powershot elph 300 ,"i'd need to properly balance every picture taken so far with the elph 300.with 12 mpixels, you'd expect pretty good images, but the problem is that the elph 300 compression is turned up so high that the sensor's acuity gets lost (softened) in compression.",SS,P,
389,194,79,compression,canon powershot elph 300 ,pictures still not as sharp (due to compression?),SS,P,
390,195,80,compression,canon powershot elph 300 ,jpg compression well done.,SS,P,
391,196,81,compression,canon powershot elph 330 ,sony wx300 has a lot of noise (when you zoom in the details of the jpeg photo) and a lot of distortion.,SS,N,
392,197,82,compression,canon powershot g1 x ,"continuous shooting speeds are also mediocre, at about 1 jpeg every second.photo quality is where the g1 x shows its mettle, as it should due to its large sensor.",SS,N,
393,198,83,compression,canon powershot g1 x ,"if he were the type of person to write reviews, he'd probably give this camera 5 stars based on how this camera meets his specific needs as a traveling architectural photographer who shoots static scenes in jpeg.",SS,N,
394,199,84,compression,canon powershot g1 x ,here are some initial comments.very unhappy with the jpeg file size - seems to max out at 2-3 mp.,SS,N,
395,200,85,compression,canon powershot g1 x ,my g10 puts out 6-7 mp in the super fine jpeg mode .,SS,P,
396,201,86,compression,canon powershot g1 x ,"this must be done in raw post processing with dpp, or in the case with jpegs with third-party software such as google's picasa.one really neat feature is a built-in neutral density filter.",SS,P,
397,202,87,compression,canon powershot g1 x ,"i shoot both in raw mode for the creative side and jpeg for the snapshots.also recommended:  buy the g1x book, do not buy the lens cap replacement.",SS,P,
398,203,88,compression,canon powershot g1 x ,i get stunningly sharp jpegs straight out of the camera.,SS,P,
399,204,89,compression,canon powershot g1 x ,"i'm just saying, if jpegs are this good, you can get some serious shots in raw.poor macro - okay, wide open this little baby does shoot f/2.8 which seems decent but really isn't very wide in retrospect (my old lumix lx5 had an f/2.0 lens and my olympus xz-1 with it's fabulous f/1.8 lens and that thing was faaaaast so i knew this wasn't going to be  as &#34;bokelicious&#34; as i wanted it to be...) so if you are even remotely familiar with how wide your lens needs to be in order to achieve shallow depth of field for macro photography, you should already know that 2.8 isn't anything to brag about.",SS,P,
400,205,90,compression,canon powershot g15 ,it is unacceptable to have good shots ruined by what should be a simple autofocusing situation.the color reproduction shooting jpeg was also disappointing.,SS,N,
401,206,91,compression,canon powershot g15 ,compared to edited raw photos the jpegs can be untouched imho.,SS,N,
402,207,92,compression,canon powershot g15 ,i should mention that the g15 also shoots in raw as well as jpeg format.,SS,P,
403,208,93,compression,canon powershot g15 ,it of course has raw and raw plus jpeg capability; i would not have purchased it otherwise.,SS,P,
404,209,94,compression,canon powershot g15 ,i've started taking pictures in raw format and have actually noticed a significant difference between jpeg and raw.,SS,P,
405,210,95,compression,canon powershot g15 ,"the g15 on its own is wonderful: it shoots fast, has a great lens, and produces stunning jpegs.",SS,P,
406,211,96,compression,canon powershot g16,"burst performance is remarkable on this camera and it can qualify as an excellent budget action shooter, especially if you shoot jpeg.",SS,P,
407,212,97,compression,canon powershot g1x ,"so when i thought i might want to share a photo online while on the go, i had to shoot raw + jpeg which was mildly annoying.",SS,N,
408,213,98,compression,canon powershot s100 ,turns out my inability to process jpegs was due to my card reader.,SS,N,
409,214,99,compression,canon powershot s100 ,"then when i go to compress it, i lose color tone.",SS,N,
410,215,100,compression,canon powershot s100 ,"the jpeg files that come out of the camera are very usable indeed, but if you get into a sketchy shooting situation switching to raw mode give one that extra level of data to mess with in post.",SS,N,
411,216,101,compression,canon powershot s100 ,i also appreciate the completely new features such as gps and automatic dynamic range compression.,SS,P,
412,217,102,compression,canon powershot s100 ,i usually shoot on auto or p with the raw + jpeg and that works perfectly.,SS,P,
413,218,103,compression,canon powershot s100 ,"the raw plus jpeg mode is key as well.frankly for me, the ability to toggle the features and use the front dial to change settings on the fly makes this rig user friendly and highly flexible and adjustable.",SS,P,
414,219,104,compression,canon powershot s100 ,so far i have been shooting jpeg because i haven't been able to get raw therapee to work with the s100 raw files yet.,SS,P,
415,220,105,compression,canon powershot s100 ,it is a sophisticated camera that shoots raw as well as jpeg format and takes very fine pictures.,SS,P,
416,221,106,compression,canon powershot s100 ,extra manual controls and the ability to shoot jpeg and raw make this camera a real winner.,SS,P,
417,222,107,compression,canon powershot s100 ,"this is a great quality small camera that can easily be stowed in a pocket or purse.great optics for the size,  shoots raw and jpeg.the lcd is large and bright and seems to have very accurate color.the photos i get from this are not as good as the photos i get from my dslr but then i would not expect them to be.all-in-all this camera exceeds my expectations and is a camera i would carry on vacation or around town for quick photo oportuntieis.",SS,P,
418,223,108,compression,canon powershot s110 ,"if this is new for you, the difference between capturing a picture in jpeg and raw is in the ability to further manipulate the images later.",SS,N,
419,224,109,compression,canon powershot s110 ,";  but, the trouble comes when your jpeg settings don't give you what you expected.",SS,N,
420,225,110,compression,canon powershot s110 ,"if you shot them in jpeg, you may be out of luck without doing extensive fiddling.",SS,P,
421,226,111,compression,canon powershot s120,"scrolling through images (large jpeg) on the camera is pretty quick, downloading is pretty quick, disconnecting and getting back to shooting is just as quick.",SS,P,
422,227,112,compression,canon powershot s90 ,jpeg picture quality is great!,SS,P,
423,228,113,compression,canon powershot s90 ,"so i very carefully opened up the camera myself, located the sensor and used compressed air to clean the sensor myself.",SS,P,
424,229,114,compression,canon powershot s95 ,a lazy bum could get away with using icontrast on jpegs in lieu of processing raw in certain instances.,SS,N,
425,230,115,compression,canon powershot s95 ,however the additional size would be an issue and there seems to be some concern about the jpeg color rendition.,SS,N,
426,231,116,compression,canon powershot s95 ,"i mainly just shoot jpeg in auto and it blows away anything i could get with my canon eos-10d (dslr) and i've had eight years of experience with that camera (was a good camera in its day).reviews that complain about the design: its a dslr shooters compact -- that explains the design -- you just gotta get used to it, and if you can you'll love it.",SS,P,
427,232,117,compression,canon powershot s95 ,"although the s95 would not match the lx5's raw shots, the jpegs were supposed to.this is what i can say so far from my experience:-not too impressed by the image stabilization.",SS,P,
428,233,118,compression,canon powershot s95 ,i have no interest in a great deal of post processing so jpeg rendition is very important to me.,SS,P,
429,234,119,compression,canon powershot s95 ,"if i want to tweak the results, the processed jpegs lend themselves readily to adjustment tweaks in photoshop or whatever program you use.",SS,P,
430,235,120,compression,canon powershot sd1400 ,"i do not know what went wrong, but canon dropped the ball with this one- cheap image sensor, poor jpeg compression engine, bad lens?",SS,N,
431,236,121,compression,canon powershot sd4500 ,"that video along with several others that i posted to youtube demonstrate up to 10x zoom in low light conditions and what you can expect for image stabilization, focus and audio performance.one of the nice features of this camera is the ability to select the jpg compression.",SS,P,
432,237,122,compression,canon powershot sx130,"this makes no sense because video compression works partially by ""delta compression"", in other words, what has changed in the frame adds size to the video file; so even with zero changes, it stops for no reason when there is plenty of space left to record on.)",SS,P,
433,238,123,compression,canon powershot sx1,i have never been impressed with either avchd or mp4 formats when compared to the less-compressed .mov format that this camera uses.,SS,P,
434,239,124,compression,canon powershot sx20,i can now save my pictures in raw format and the superfine jpeg format has been restored.,SS,P,
435,240,125,compression,canon powershot sx230,"images are soft, too soft and some of that comes from compression (max setting 4:3 file size is 4 megs, 16:9 2 megs if you are lucky, can we say serious compression?",SS,P,
436,241,126,compression,canon powershot sx230,"), as seen by the great number of compression artifacts at max quality..max being fine, as super or uncompressed quality does not exist in this cam.",SS,P,
437,242,127,compression,canon powershot sx230,here are the settings i use when shooting video in low light i set selector wheel on movie mode the movie quality is 1920/1080 compression is set on fine recording pixels are on l{4000/3000} movie mode is standard wind filter is off is mode is on continuous.,SS,P,
438,243,128,compression,canon powershot sx260,i guess that was because of the compression.the video mode works fine and is accessible with a red record button so you don't have to dial up the video setting which is on the dial.,SS,P,
439,244,129,compression,canon powershot sx260,"although it doesn't shoot raw (that's a debate for another time), i am very happy with the jpegs and i use the included highlight-taming technology built in to the camera and it works very well.what i like:1) pocketable.",SS,P,
440,245,130,compression,canon powershot sx260,camera has fine (f) and superfine (sf) jpeg modes.,SS,P,
441,246,131,compression,canon powershot sx50 ,"detail, color and clarity is far beyond the jpeg photos.",SS,P,
442,247,132,compression,canon powershot sx50 ,"plus, it shoots in raw format, in addition to jpeg, and has hdr as well.",SS,P,
443,248,133,compression,canon powershot sx50 ,"for now, i am happy with the jpegs i get.the build of the strap holders does not allow for attaching a different strap.",SS,P,
444,249,134,compression,canon powershot sx50 ,it shoots raw as well a jpeg so i have a choice.,SS,P,
445,250,135,compression,canon powershot sx50 ,"), to wit:  the image quality - color, saturation, accuracy, sharpness -- is excellent (reducing significantly post-production tweaking); it shoots raw as well as jpeg; it shoots fast and consistently; the zoom is awesome if you can get a handle on how to use it sans tripod with minimal camera shake (i.e., brace, don't breathe, tuck elbows into sides, and use the evf, painful as the latter may be); its menu system doesn't drive you crazy; the intelligent auto results are mind-bendingly good; the camera is very flexible and it has many very useful features and settings that i have not enumerated here.",SS,P,
